group,channel,biomarker,n_subjects,mean,standard_deviation,median,q1,q3
AD,C3,node_strength,36,6.848387537806671,1.4696862016202716,6.501261859768931,5.57429076679833,8.226072466392116
AD,C3,weighted_clustering,36,0.5127645683339156,0.07598595949775361,0.4955028441820891,0.469616728965051,0.5604578677877939
AD,C4,node_strength,36,6.577675981889692,1.4083252477511714,6.82981764541585,5.465873334107829,7.449400516308236
AD,C4,weighted_clustering,36,0.5289615934476845,0.08748825793098736,0.5288196611155439,0.4593329507978369,0.5761066367113239
AD,Cz,node_strength,36,6.677283937457205,1.1274731850582718,6.901304017074283,5.734283790728586,7.655674269789925
AD,Cz,weighted_clustering,36,0.5859634561618132,0.0969764387973891,0.5881766930221943,0.5031709574405604,0.6432283756707126
AD,F3,node_strength,36,5.119359599459874,1.557760518727864,5.055803714133291,4.1072307956062755,6.072011250987307
AD,F3,weighted_clustering,36,0.5765618214081301,0.13932750681630224,0.5915267061309173,0.48784309811879095,0.6724406179044744
AD,F4,node_strength,36,4.926536097475508,1.604700180474112,5.011855612432971,4.084203774964562,6.0885344960959
AD,F4,weighted_clustering,36,0.5788518161058783,0.14786612886016937,0.5823712608891265,0.5012751165167226,0.6759784458794398
AD,F7,node_strength,36,3.2024373503066275,1.8722432119640475,2.7349219425101268,1.8640846114790337,4.63919400731171
AD,F7,weighted_clustering,36,0.4504551845151231,0.1943217903111046,0.4897533212130458,0.3001004587607109,0.6019308565062508
AD,F8,node_strength,36,4.1611641601166065,1.9100989700929414,4.1640944705047165,2.7467511762987895,5.161385495187182
AD,F8,weighted_clustering,36,0.5471453646217835,0.17372230072025022,0.5260853019804232,0.42857691103702544,0.6959166770065204
AD,Fp1,node_strength,36,4.909487057816318,2.3339912814749226,4.332883673369453,2.854366122625255,6.8559454623923495
AD,Fp1,weighted_clustering,36,0.5379217154830261,0.13032130519216503,0.5391883090419405,0.4432023586009052,0.6256632900222893
AD,Fp2,node_strength,36,5.262955790478184,2.5055150102297703,4.804376450058978,3.4027002348699447,7.042379966404194
AD,Fp2,weighted_clustering,36,0.5455080794743812,0.15678464863565109,0.5406917271459248,0.48891814368726383,0.6387625953043929
AD,Fz,node_strength,36,5.830471108446046,1.3601190176354347,6.144248980385827,4.608111758076589,6.817342952977291
AD,Fz,weighted_clustering,36,0.6238263401172258,0.1245034084660508,0.6232751215317636,0.5578508245278762,0.7132106997235965
AD,GLOBAL,density,36,0.2982456140350877,4.6915485647975684e-17,0.29824561403508776,0.2982456140350877,0.29824561403508776
AD,GLOBAL,mean_edge_magnitude,36,0.9734362624380248,0.01782363506634147,0.9772130080656876,0.9696930925312442,0.9840240971527341
AD,GLOBAL,mean_node_strength,36,5.225815724667291,0.09568477772456993,5.246090885405271,5.205720812536153,5.282655679451521
AD,GLOBAL,mean_weighted_clustering,36,0.5663964786427305,0.024213916429560535,0.566298003921162,0.552208269198974,0.5774285414436737
AD,GLOBAL,weighted_global_efficiency,36,0.602380600122812,0.03519130406991513,0.5947701549081591,0.5810226922733889,0.6181288799955991
AD,O1,node_strength,36,4.952883738619643,1.3494516134798122,4.941901029579821,3.90253296477602,6.035897968482495
AD,O1,weighted_clustering,36,0.6265089958747985,0.14335724650590634,0.6301687135506573,0.547993706426928,0.7302229396312174
AD,O2,node_strength,36,4.73795229745782,1.5500258689908586,4.839080674145649,3.6647581539733545,6.098814430332448
AD,O2,weighted_clustering,36,0.6401982296678151,0.15790543851578195,0.653050639311602,0.5773777870620234,0.7234684804469198
AD,P3,node_strength,36,6.284909495085751,1.5089020825481647,6.370167265926721,5.120107521904191,7.075513416133231
AD,P3,weighted_clustering,36,0.5812857415275512,0.10437616205396748,0.5984752418037158,0.522023668817541,0.6529280916165197
AD,P4,node_strength,36,6.146416146509796,1.4509872096230008,6.226798020160471,5.169563994958202,7.017412046829703
AD,P4,weighted_clustering,36,0.6107472214295254,0.10732958564488572,0.6234717270361932,0.5547843037816971,0.681659656871412
AD,Pz,node_strength,36,7.081804341788395,1.3584886660651432,7.53826315317812,6.409959676243437,8.012301426076178
AD,Pz,weighted_clustering,36,0.5800099157733396,0.09890745576464223,0.5920196817177821,0.4895841756299668,0.6412156541047849
AD,T3,node_strength,36,3.541989183857677,1.0694684625151758,3.400288228576354,2.7536898648607337,4.316804819438897
AD,T3,weighted_clustering,36,0.47766088624669334,0.12798015338542315,0.4723987913249051,0.4219530003398702,0.5678975577832027
AD,T4,node_strength,36,3.7240976607696035,1.540474828970154,3.8659361483194887,2.2215434175784687,4.822027923434928
AD,T4,weighted_clustering,36,0.48837045923380834,0.1617762234550149,0.5182134455367837,0.40631521788401836,0.5984317550842916
AD,T5,node_strength,36,4.612342372902685,1.4948842274542435,4.690231596211456,3.380317170722502,5.689816934111692
AD,T5,weighted_clustering,36,0.6235615065799287,0.10386844868813719,0.6421633893027782,0.5759576488793128,0.6940058507767297
AD,T6,node_strength,36,4.692344910434425,1.4536784841304367,4.874020312406848,3.5904372539410647,5.6150853251412585
AD,T6,weighted_clustering,36,0.6452301982094597,0.13186197135432765,0.6654462647799875,0.6281639152117977,0.718114905460424
CN,C3,node_strength,29,6.920051613850389,1.662056286504331,6.935762411730301,6.1279336954515005,8.149409757432155
CN,C3,weighted_clustering,29,0.5242621021087286,0.10365735617987759,0.5572315636701476,0.4490026382043806,0.5810397165755248
CN,C4,node_strength,29,6.724230645633467,1.6880279615916123,7.002161439670169,6.085130724120023,8.097493720841287
CN,C4,weighted_clustering,29,0.5598144237934307,0.10478275297276154,0.5456151167614126,0.4860652367969171,0.6349241950759963
CN,Cz,node_strength,29,6.423820189404874,1.3702082811694485,6.416552524604098,5.572729474022275,7.2610410770773886
CN,Cz,weighted_clustering,29,0.6419328148797685,0.10302451140601364,0.6505887526276226,0.5652515610441018,0.7105178540798545
CN,F3,node_strength,29,6.442675589637689,1.4380982944772716,6.478080043473194,5.41487718383651,7.759534202380614
CN,F3,weighted_clustering,29,0.6684849212942925,0.07895714308263917,0.6575237454801444,0.6119148784884653,0.723526292874188
CN,F4,node_strength,29,6.483325403174497,1.5792333121297604,6.410259677988032,5.763795503504991,7.641856323768742
CN,F4,weighted_clustering,29,0.6698205365938956,0.0881824256360649,0.6627892457655103,0.6267877969116263,0.7306978546417053
CN,F7,node_strength,29,5.132275384033273,1.84475760904388,5.24083242468212,4.090533691423911,6.0590224052252974
CN,F7,weighted_clustering,29,0.6330617576153156,0.15538554538022367,0.6682019357516576,0.5850539829316438,0.7246537789548302
CN,F8,node_strength,29,4.994459700361071,2.0515218623377334,5.402913063180213,3.9591016225325757,6.375760601054538
CN,F8,weighted_clustering,29,0.6437090229784951,0.16951904013099642,0.6653620786633768,0.6063587892906658,0.7593895218644895
CN,Fp1,node_strength,29,5.895025722582552,2.771617965350083,6.150899632725605,3.7969207376814804,7.610235944086192
CN,Fp1,weighted_clustering,29,0.6015668245495571,0.21227744758039419,0.6116295887955472,0.5096006354960086,0.7626981545412107
CN,Fp2,node_strength,29,6.665180318387629,2.3520785453227195,7.15195769071579,5.6313411367245205,8.407821491528093
CN,Fp2,weighted_clustering,29,0.6198063188581018,0.1682279938241569,0.6481626666540405,0.5731845750200439,0.6991434046072942
CN,Fz,node_strength,29,6.479101644296577,1.219025198599187,6.745940965955907,6.154848524870781,7.136837250080662
CN,Fz,weighted_clustering,29,0.70210498459148,0.08091868675454367,0.7138557011605128,0.652075103202541,0.7455844331253577
CN,GLOBAL,density,29,0.2982456140350877,5.031125333981677e-17,0.29824561403508776,0.2982456140350877,0.29824561403508776
CN,GLOBAL,mean_edge_magnitude,29,0.9770256575078249,0.009962711744742085,0.9796424416395334,0.9715853192045132,0.985085726195089
CN,GLOBAL,mean_node_strength,29,5.245085108726218,0.05348403147177336,5.259133107749073,5.215879082045282,5.288354951152583
CN,GLOBAL,mean_weighted_clustering,29,0.5687409776978092,0.03533625600778979,0.5645698848879158,0.5480941308014042,0.5924771917004488
