channel,biomarker,n_ad,n_cn,ad_mean,ad_median,cn_mean,cn_median,mean_difference_ad_minus_cn,mann_whitney_u,p_value,rank_biserial_effect,fdr_q_value,significant_fdr_0_05
C3,node_strength,36,29,6.848387537806671,6.501261859768931,6.920051613850389,6.935762411730301,-0.07166407604371816,492.0,0.6970502460722026,-0.05747126436781613,0.7493290145276178,False
C3,weighted_clustering,36,29,0.5127645683339156,0.4955028441820891,0.5242621021087286,0.5572315636701476,-0.011497533774812996,473.0,0.5221436936400754,-0.0938697318007663,0.6044296689469111,False
C4,node_strength,36,29,6.577675981889692,6.82981764541585,6.724230645633467,7.002161439670169,-0.14655466374377468,476.0,0.5482036532309194,-0.08812260536398464,0.6044296689469111,False
C4,weighted_clustering,36,29,0.5289615934476845,0.5288196611155439,0.5598144237934307,0.5456151167614126,-0.030852830345746263,434.0,0.24820535610451366,-0.16858237547892718,0.3234191003786087,False
Cz,node_strength,36,29,6.677283937457205,6.901304017074283,6.423820189404874,6.416552524604098,0.2534637480523312,589.0,0.38016802931390803,0.1283524904214559,0.4540895905693902,False
Cz,weighted_clustering,36,29,0.5859634561618132,0.5881766930221943,0.6419328148797685,0.6505887526276226,-0.055969358717955275,346.0,0.020556238816907227,-0.33716475095785436,0.03843122909247873,True
F3,node_strength,36,29,5.119359599459874,5.055803714133291,6.442675589637689,6.478080043473194,-1.3233159901778153,275.0,0.0011418968564871337,-0.4731800766283525,0.00395627262011075,True
F3,weighted_clustering,36,29,0.5765618214081301,0.5915267061309173,0.6684849212942925,0.6575237454801444,-0.09192309988616243,312.0,0.005697025339919875,-0.4022988505747126,0.014410122918620859,True
F4,node_strength,36,29,4.926536097475508,5.011855612432971,6.483325403174497,6.410259677988032,-1.556789305698989,244.0,0.00025014633217941627,-0.5325670498084292,0.0015366131833878427,True
F4,weighted_clustering,36,29,0.5788518161058783,0.5823712608891265,0.6698205365938956,0.6627892457655103,-0.0909687204880173,314.0,0.006175122170120597,-0.3984674329501916,0.014751680739732539,True
F7,node_strength,36,29,3.2024373503066275,2.7349219425101268,5.132275384033273,5.24083242468212,-1.9298380337266452,237.0,0.00017369642925721233,-0.5459770114942528,0.0012448244096766885,True
F7,weighted_clustering,36,29,0.4504551845151231,0.4897533212130458,0.6330617576153156,0.6682019357516576,-0.18260657310019246,218.0,6.195803493133913e-05,-0.5823754789272031,0.0005633869604621112,True
F8,node_strength,36,29,4.1611641601166065,4.1640944705047165,4.994459700361071,5.402913063180213,-0.8332955402444648,386.0,0.0737493175205623,-0.26053639846743293,0.11745261679200662,False
F8,weighted_clustering,36,29,0.5471453646217835,0.5260853019804232,0.6437090229784951,0.6653620786633768,-0.09656365835671155,336.0,0.014364961862134304,-0.3563218390804598,0.028076970912353415,True
Fp1,node_strength,36,29,4.909487057816318,4.332883673369453,5.895025722582552,6.150899632725605,-0.9855386647662341,411.0,0.14477285032928702,-0.21264367816091956,0.20750775213864472,False
